From,To,Year,Section ID,Section,HS2 ID,HS2,Trade Value,,,From,To,Year,Section ID,Section,
usa,gbr,2020,1,Animal Products,101,Animals; live,27210271,,,usa,gbr,2020,1,Animal Products,126134299
usa,gbr,2020,1,Animal Products,102,Meat and edible meat offal,5531502,,,usa,gbr,2020,2,Vegetable Products,537729519
usa,gbr,2020,1,Animal Products,103,Aquatic Animals,39949102,,,usa,gbr,2020,3,Animal and Vegetable Bi-Products,108561074
usa,gbr,2020,1,Animal Products,104,Edible Animal By-Products,21982834,,,usa,gbr,2020,4,Foodstuffs,1038086412
usa,gbr,2020,1,Animal Products,105,Other Animal Products,31460590,,,usa,gbr,2020,5,Mineral Products,6035801275
usa,gbr,2020,2,Vegetable Products,206,"Live trees, plants, bulbs, roots and cut flowers",551484,,,usa,gbr,2020,6,Chemical Products,5818929788
usa,gbr,2020,2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,109088172,,,usa,gbr,2020,7,Plastics and Rubbers,1444349711
usa,gbr,2020,2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",216665412,,,usa,gbr,2020,8,Animal Hides,33377438
usa,gbr,2020,2,Vegetable Products,209,"Coffee, tea, mate and spices",14961031,,,usa,gbr,2020,9,Wood Products,1103033827
usa,gbr,2020,2,Vegetable Products,210,Cereals,26019984,,,usa,gbr,2020,10,Paper Goods,811783018
usa,gbr,2020,2,Vegetable Products,211,"Products of the milling industry; malt, starches, inulin, wheat gluten",16970834,,,usa,gbr,2020,11,Textiles,407112207
usa,gbr,2020,2,Vegetable Products,212,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",113720579,,,usa,gbr,2020,12,Footwear and Headwear,32387887
usa,gbr,2020,2,Vegetable Products,213,"Lac; gums, resins and other vegetable saps and extracts",38473737,,,usa,gbr,2020,13,Stone And Glass,289377555
usa,gbr,2020,2,Vegetable Products,214,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1278286,,,usa,gbr,2020,14,Precious Metals,9400564104
usa,gbr,2020,3,Animal and Vegetable Bi-Products,315,"Animal or vegetable fats, oils and waxes",108561074,,,usa,gbr,2020,15,Metals,1437735184
usa,gbr,2020,4,Foodstuffs,416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",59797719,,,usa,gbr,2020,16,Machines,11591596710
usa,gbr,2020,4,Foodstuffs,417,Sugars and sugar confectionery,38689007,,,usa,gbr,2020,17,Transportation,3020044136
usa,gbr,2020,4,Foodstuffs,418,Cocoa and cocoa preparations,35840253,,,usa,gbr,2020,18,Instruments,2667995520
usa,gbr,2020,4,Foodstuffs,419,"Preparations of cereals, flour, starch or milk; pastrycooks' products",63486701,,,usa,gbr,2020,19,Weapons,91438194
usa,gbr,2020,4,Foodstuffs,420,"Preparations of vegetables, fruit, nuts or other parts of plants",49676312,,,usa,gbr,2020,20,Miscellaneous,563177640
usa,gbr,2020,4,Foodstuffs,421,Miscellaneous edible preparations,255500305,,,usa,gbr,2020,21,Arts and Antiques,2078951230
usa,gbr,2020,4,Foodstuffs,422,"Beverages, spirits and vinegar",433048350,,,usa,gbr,2019,1,Animal Products,123671107
usa,gbr,2020,4,Foodstuffs,423,"Food industries, residues and wastes thereof; prepared animal fodder",101870282,,,usa,gbr,2019,2,Vegetable Products,594989110
usa,gbr,2020,4,Foodstuffs,424,Tobacco and manufactured tobacco substitutes,177483,,,usa,gbr,2019,3,Animal and Vegetable Bi-Products,65833840
usa,gbr,2020,5,Mineral Products,525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",42308801,,,usa,gbr,2019,4,Foodstuffs,1039457317
usa,gbr,2020,5,Mineral Products,526,"Ores, slag and ash",336725047,,,usa,gbr,2019,5,Mineral Products,7382775665
usa,gbr,2020,5,Mineral Products,527,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",5656767427,,,usa,gbr,2019,6,Chemical Products,5785391396
usa,gbr,2020,6,Chemical Products,628,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",150323269,,,usa,gbr,2019,7,Plastics and Rubbers,1602721903
usa,gbr,2020,6,Chemical Products,629,Organic chemicals,809297949,,,usa,gbr,2019,8,Animal Hides,40969449
usa,gbr,2020,6,Chemical Products,630,Pharmaceutical products,2776537059,,,usa,gbr,2019,9,Wood Products,1085629894
usa,gbr,2020,6,Chemical Products,631,Fertilizers,13732950,,,usa,gbr,2019,10,Paper Goods,961591875
usa,gbr,2020,6,Chemical Products,632,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",114764504,,,usa,gbr,2019,11,Textiles,506703205
usa,gbr,2020,6,Chemical Products,633,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",728693575,,,usa,gbr,2019,12,Footwear and Headwear,52152589
usa,gbr,2020,6,Chemical Products,634,"Soap, organic surface-active agents, others",135545410,,,usa,gbr,2019,13,Stone And Glass,399146064
usa,gbr,2020,6,Chemical Products,635,Albuminoidal substances; modified starches; glues; enzymes,105386365,,,usa,gbr,2019,14,Precious Metals,8341405525
usa,gbr,2020,6,Chemical Products,636,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,20242321,,,usa,gbr,2019,15,Metals,1839523049
usa,gbr,2020,6,Chemical Products,637,Photographic or cinematographic goods,24540148,,,usa,gbr,2019,16,Machines,11265317240
usa,gbr,2020,6,Chemical Products,638,Chemical products n.e.s.,939866238,,,usa,gbr,2019,17,Transportation,3689897603
usa,gbr,2020,7,Plastics and Rubbers,739,Plastics and articles thereof,1238220390,,,usa,gbr,2019,18,Instruments,2915695107
usa,gbr,2020,7,Plastics and Rubbers,740,Rubber and rubber articles,206129321,,,usa,gbr,2019,19,Weapons,74653810
usa,gbr,2020,8,Animal Hides,841,Raw leather from different animals,4685713,,,usa,gbr,2019,20,Miscellaneous,732360786
usa,gbr,2020,8,Animal Hides,842,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",27891975,,,usa,gbr,2019,21,Arts and Antiques,2310477208
usa,gbr,2020,8,Animal Hides,843,Furskins and artificial fur; manufactures thereof,799750,,,usa,jpn,2010,1,Animal Products,3512492730
usa,gbr,2020,9,Wood Products,944,Wood and articles of wood; wood charcoal,1102504870,,,usa,jpn,2010,2,Vegetable Products,7507386149
usa,gbr,2020,9,Wood Products,945,Cork and articles of cork,336758,,,usa,jpn,2010,3,Animal and Vegetable Bi-Products,77656934
usa,gbr,2020,9,Wood Products,946,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",192199,,,usa,jpn,2010,4,Foodstuffs,2515583351
usa,gbr,2020,10,Paper Goods,1047,Pulp of wood or other fibrous cellulosic material,18040540,,,usa,jpn,2010,5,Mineral Products,2590776437
usa,gbr,2020,10,Paper Goods,1048,Paper Articles,261652308,,,usa,jpn,2010,6,Chemical Products,11110031073
usa,gbr,2020,10,Paper Goods,1049,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",532090170,,,usa,jpn,2010,7,Plastics and Rubbers,2277494459
usa,gbr,2020,11,Textiles,1150,Silk,181521,,,usa,jpn,2010,8,Animal Hides,208887566
usa,gbr,2020,11,Textiles,1151,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",1709112,,,usa,jpn,2010,9,Wood Products,677332397
usa,gbr,2020,11,Textiles,1152,Cotton,3094094,,,usa,jpn,2010,10,Paper Goods,1370381540
usa,gbr,2020,11,Textiles,1153,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,595085,,,usa,jpn,2010,11,Textiles,528906468
