exports_from,exports_to,exports_year,section_id,section_name,trade_value,trade_id
usa,gbr,2020,1,Animal Products,126134299,t_a_1
usa,gbr,2020,2,Vegetable Products,537729519,t_a_2
usa,gbr,2020,3,Animal and Vegetable Bi-Products,108561074,t_a_3
usa,gbr,2020,4,Foodstuffs,1038086412,t_a_4
usa,gbr,2020,5,Mineral Products,6035801275,t_a_5
usa,gbr,2020,6,Chemical Products,5818929788,t_a_6
usa,gbr,2020,7,Plastics and Rubbers,1444349711,t_a_7
usa,gbr,2020,8,Animal Hides,33377438,t_a_8
usa,gbr,2020,9,Wood Products,1103033827,t_a_9
usa,gbr,2020,10,Paper Goods,811783018,t_a_10
usa,gbr,2020,11,Textiles,407112207,t_a_11
usa,gbr,2020,12,Footwear and Headwear,32387887,t_a_12
usa,gbr,2020,13,Stone And Glass,289377555,t_a_13
usa,gbr,2020,14,Precious Metals,9400564104,t_a_14
usa,gbr,2020,15,Metals,1437735184,t_a_15
usa,gbr,2020,16,Machines,11591596710,t_a_16
usa,gbr,2020,17,Transportation,3020044136,t_a_17
usa,gbr,2020,18,Instruments,2667995520,t_a_18
usa,gbr,2020,19,Weapons,91438194,t_a_19
usa,gbr,2020,20,Miscellaneous,563177640,t_a_20
usa,gbr,2020,21,Arts and Antiques,2078951230,t_a_21
usa,gbr,2019,1,Animal Products,123671107,t_a_22
usa,gbr,2019,2,Vegetable Products,594989110,t_a_23
usa,gbr,2019,3,Animal and Vegetable Bi-Products,65833840,t_a_24
usa,gbr,2019,4,Foodstuffs,1039457317,t_a_25
usa,gbr,2019,5,Mineral Products,7382775665,t_a_26
usa,gbr,2019,6,Chemical Products,5785391396,t_a_27
usa,gbr,2019,7,Plastics and Rubbers,1602721903,t_a_28
usa,gbr,2019,8,Animal Hides,40969449,t_a_29
usa,gbr,2019,9,Wood Products,1085629894,t_a_30
usa,gbr,2019,10,Paper Goods,961591875,t_a_31
usa,gbr,2019,11,Textiles,506703205,t_a_32
usa,gbr,2019,12,Footwear and Headwear,52152589,t_a_33
usa,gbr,2019,13,Stone And Glass,399146064,t_a_34
usa,gbr,2019,14,Precious Metals,8341405525,t_a_35
usa,gbr,2019,15,Metals,1839523049,t_a_36
usa,gbr,2019,16,Machines,11265317240,t_a_37
usa,gbr,2019,17,Transportation,3689897603,t_a_38
usa,gbr,2019,18,Instruments,2915695107,t_a_39
usa,gbr,2019,19,Weapons,74653810,t_a_40
usa,gbr,2019,20,Miscellaneous,732360786,t_a_41
usa,gbr,2019,21,Arts and Antiques,2310477208,t_a_42
usa,jpn,2010,1,Animal Products,3512492730,t_a_43
usa,jpn,2010,2,Vegetable Products,7507386149,t_a_44
usa,jpn,2010,3,Animal and Vegetable Bi-Products,77656934,t_a_45
usa,jpn,2010,4,Foodstuffs,2515583351,t_a_46
usa,jpn,2010,5,Mineral Products,2590776437,t_a_47
usa,jpn,2010,6,Chemical Products,11110031073,t_a_48
usa,jpn,2010,7,Plastics and Rubbers,2277494459,t_a_49
usa,jpn,2010,8,Animal Hides,208887566,t_a_50
usa,jpn,2010,9,Wood Products,677332397,t_a_51
usa,jpn,2010,10,Paper Goods,1370381540,t_a_52
usa,jpn,2010,11,Textiles,528906468,t_a_53
usa,jpn,2010,12,Footwear and Headwear,77234800,t_a_54
usa,jpn,2010,13,Stone And Glass,496836951,t_a_55
usa,jpn,2010,14,Precious Metals,1264919617,t_a_56
usa,jpn,2010,15,Metals,1460370138,t_a_57
usa,jpn,2010,16,Machines,12145916600,t_a_58
usa,jpn,2010,17,Transportation,4415421167,t_a_59
usa,jpn,2010,18,Instruments,7270219331,t_a_60
usa,jpn,2010,19,Weapons,420490089,t_a_61
usa,jpn,2010,20,Miscellaneous,519108259,t_a_62
usa,jpn,2010,21,Arts and Antiques,92974278,t_a_63
usa,jpn,2011,1,Animal Products,4281401154,t_a_64
usa,jpn,2011,2,Vegetable Products,9086710722,t_a_65
usa,jpn,2011,3,Animal and Vegetable Bi-Products,85187513,t_a_66
usa,jpn,2011,4,Foodstuffs,2731636838,t_a_67
usa,jpn,2011,5,Mineral Products,3422133909,t_a_68
usa,jpn,2011,6,Chemical Products,11700421144,t_a_69
usa,jpn,2011,7,Plastics and Rubbers,2396877704,t_a_70
usa,jpn,2011,8,Animal Hides,195685412,t_a_71
usa,jpn,2011,9,Wood Products,771871259,t_a_72
usa,jpn,2011,10,Paper Goods,1502024341,t_a_73
usa,jpn,2011,11,Textiles,625048720,t_a_74
usa,jpn,2011,12,Footwear and Headwear,97266825,t_a_75
usa,jpn,2011,13,Stone And Glass,540016595,t_a_76
usa,jpn,2011,14,Precious Metals,1499350199,t_a_77
usa,jpn,2011,15,Metals,1688810107,t_a_78
usa,jpn,2011,16,Machines,12500592702,t_a_79
