exports_from,exports_to,exports_year,section_id,section_name,trade_value,trade_id
usa,chn,2011,1,Animal Products,2415029224,trade_b_1
usa,chn,2011,2,Vegetable Products,12407174436,trade_b_2
usa,chn,2011,3,Animal and Vegetable Bi-Products,236810158,trade_b_3
usa,chn,2011,4,Foodstuffs,1350851209,trade_b_4
usa,chn,2011,5,Mineral Products,3880288714,trade_b_5
usa,chn,2011,6,Chemical Products,9590759827,trade_b_6
usa,chn,2011,7,Plastics and Rubbers,6122475378,trade_b_7
usa,chn,2011,8,Animal Hides,1131610723,trade_b_8
usa,chn,2011,9,Wood Products,1935507843,trade_b_9
usa,chn,2011,10,Paper Goods,4768592992,trade_b_10
usa,chn,2011,11,Textiles,3764075795,trade_b_11
usa,chn,2011,12,Footwear and Headwear,73536928,trade_b_12
usa,chn,2011,13,Stone And Glass,654208283,trade_b_13
usa,chn,2011,14,Precious Metals,935801533,trade_b_14
usa,chn,2011,15,Metals,8861780867,trade_b_15
usa,chn,2011,16,Machines,23717416554,trade_b_16
usa,chn,2011,17,Transportation,11835015089,trade_b_17
usa,chn,2011,18,Instruments,5846216922,trade_b_18
usa,chn,2011,19,Weapons,1161093,trade_b_19
usa,chn,2011,20,Miscellaneous,890929719,trade_b_20
usa,chn,2011,21,Arts and Antiques,67536622,trade_b_21
usa,chn,2012,1,Animal Products,2613329061,trade_b_22
usa,chn,2012,2,Vegetable Products,17288313638,trade_b_23
usa,chn,2012,3,Animal and Vegetable Bi-Products,374531938,trade_b_24
usa,chn,2012,4,Foodstuffs,1827023802,trade_b_25
usa,chn,2012,5,Mineral Products,4343374429,trade_b_26
usa,chn,2012,6,Chemical Products,9256490911,trade_b_27
usa,chn,2012,7,Plastics and Rubbers,5791512028,trade_b_28
usa,chn,2012,8,Animal Hides,1304387857,trade_b_29
usa,chn,2012,9,Wood Products,1642973158,trade_b_30
usa,chn,2012,10,Paper Goods,4677171359,trade_b_31
usa,chn,2012,11,Textiles,4636322901,trade_b_32
usa,chn,2012,12,Footwear and Headwear,63904816,trade_b_33
usa,chn,2012,13,Stone And Glass,513725439,trade_b_34
usa,chn,2012,14,Precious Metals,441679057,trade_b_35
usa,chn,2012,15,Metals,9335026587,trade_b_36
usa,chn,2012,16,Machines,21988312358,trade_b_37
usa,chn,2012,17,Transportation,14413289426,trade_b_38
usa,chn,2012,18,Instruments,7696084433,trade_b_39
usa,chn,2012,19,Weapons,761761,trade_b_40
usa,chn,2012,20,Miscellaneous,605673116,trade_b_41
usa,chn,2012,21,Arts and Antiques,61497816,trade_b_42
usa,chn,2013,1,Animal Products,2945323739,trade_b_43
usa,chn,2013,2,Vegetable Products,16603967589,trade_b_44
usa,chn,2013,3,Animal and Vegetable Bi-Products,203264173,trade_b_45
usa,chn,2013,4,Foodstuffs,2690972169,trade_b_46
usa,chn,2013,5,Mineral Products,4541120650,trade_b_47
usa,chn,2013,6,Chemical Products,10146598369,trade_b_48
usa,chn,2013,7,Plastics and Rubbers,5759864685,trade_b_49
usa,chn,2013,8,Animal Hides,1609652331,trade_b_50
usa,chn,2013,9,Wood Products,2357923332,trade_b_51
usa,chn,2013,10,Paper Goods,4581905791,trade_b_52
usa,chn,2013,11,Textiles,3503183550,trade_b_53
usa,chn,2013,12,Footwear and Headwear,67937717,trade_b_54
usa,chn,2013,13,Stone And Glass,640415881,trade_b_55
