section_id,section_name,category_id,category_name,item_id,item_name
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20806,Grapes
2,Vegetable Products,210,Cereals,21001,Wheat
4,Foodstuffs,419,"Preparations of cereals, flour, starch or milk; pastrycooks' products",41905,Baked Goods
4,Foodstuffs,420,"Preparations of vegetables, fruit, nuts or other parts of plants",42005,Other Processed Vegetables
5,Mineral Products,526,"Ores, slag and ash",52615,"Niobium, Tantalum, Vanadium and Zirconium Ore"
5,Mineral Products,527,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",52702,Lignite
5,Mineral Products,527,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",52710,Refined Petroleum
6,Chemical Products,628,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",62842,Other Inorganic Acids Salts
6,Chemical Products,630,Pharmaceutical products,63004,Packaged Medicaments
6,Chemical Products,632,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",63204,Synthetic Coloring Matter
6,Chemical Products,632,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",63208,Nonaqueous Paints
6,Chemical Products,632,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",63209,Aqueous Paints
6,Chemical Products,633,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",63302,Scented Mixtures
6,Chemical Products,633,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",63305,Hair Products
6,Chemical Products,634,"Soap, organic surface-active agents, others",63402,Cleaning Products
6,Chemical Products,634,"Soap, organic surface-active agents, others",63405,Polishes and Creams
6,Chemical Products,638,Chemical products n.e.s.,63819,Hydraulic Brake Fluid
6,Chemical Products,638,Chemical products n.e.s.,63823,"Industrial Fatty Acids, Oils and Alcohols"
7,Plastics and Rubbers,740,Rubber and rubber articles,74009,Rubber Pipes
8,Animal Hides,841,Raw leather from different animals,84107,Leather of Other Animals
9,Wood Products,944,Wood and articles of wood; wood charcoal,94407,Sawn Wood
10,Paper Goods,1048,Paper Articles,104811,Cellulose Fibers Paper
11,Textiles,1157,Carpets and other textile floor coverings,115702,Hand-Woven Rugs
13,Stone And Glass,1368,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",136802,Building Stone
13,Stone And Glass,1369,Ceramic products,136912,Ceramic Tableware
15,Metals,1572,Iron and steel,157210,Coated Flat-Rolled Iron
15,Metals,1573,Iron or steel articles,157324,Iron Toiletry
15,Metals,1582,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",158205,Other Hand Tools
15,Metals,1583,Metal; miscellaneous products of base metal,158302,Metal Mountings
16,Machines,1684,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",168411,Gas Turbines
16,Machines,1684,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",168413,Liquid Pumps
16,Machines,1684,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",168415,Air Conditioners
16,Machines,1684,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",168424,Liquid Dispersing Machines
16,Machines,1684,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",168431,Excavation Machinery
16,Machines,1684,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",168451,Textile Processing Machines
